Report Month,Traffic Level,Traffic Flow
02/01/2021 12:00:00 AM,0- free flowing,45920
06/01/2022 12:00:00 AM,2 - medium traffic,55812.5
10/01/2022 12:00:00 AM,1 - light traffic,8310
06/01/2019 12:00:00 AM,3 - heavy traffic,213915
05/01/2021 12:00:00 AM,1 - light traffic,28
02/01/2023 12:00:00 AM,1 - light traffic,3610
11/01/2021 12:00:00 AM,4 - stand still,44502.5
05/01/2020 12:00:00 AM,0- free flowing,49399
03/01/2022 12:00:00 AM,2 - medium traffic,52387.5
06/01/2019 12:00:00 AM,0- free flowing,1274239
04/01/2021 12:00:00 AM,4 - stand still,189
02/01/2021 12:00:00 AM,4 - stand still,0
08/01/2020 12:00:00 AM,0- free flowing,47345
12/01/2022 12:00:00 AM,3 - heavy traffic,110619
05/01/2021 12:00:00 AM,0- free flowing,19745
01/01/2021 12:00:00 AM,2 - medium traffic,0
01/01/2022 12:00:00 AM,3 - heavy traffic,20544
11/01/2022 12:00:00 AM,1 - light traffic,7120
06/01/2020 12:00:00 AM,2 - medium traffic,207.5
05/01/2023 12:00:00 AM,2 - medium traffic,31125
09/01/2020 12:00:00 AM,1 - light traffic,198
12/01/2022 12:00:00 AM,0- free flowing,609073
07/01/2021 12:00:00 AM,4 - stand still,52846.5
05/01/2022 12:00:00 AM,2 - medium traffic,47895
08/01/2022 12:00:00 AM,4 - stand still,29708
03/01/2023 12:00:00 AM,1 - light traffic,8568
06/01/2023 12:00:00 AM,3 - heavy traffic,13665
07/01/2019 12:00:00 AM,1 - light traffic,20942
11/01/2022 12:00:00 AM,4 - stand still,44352
04/01/2021 12:00:00 AM,1 - light traffic,4
06/01/2022 12:00:00 AM,1 - light traffic,9144
08/01/2022 12:00:00 AM,3 - heavy traffic,80343
03/01/2022 12:00:00 AM,0- free flowing,541792
12/01/2021 12:00:00 AM,3 - heavy traffic,90684
09/01/2021 12:00:00 AM,1 - light traffic,5342
03/01/2022 12:00:00 AM,1 - light traffic,8438
06/01/2020 12:00:00 AM,3 - heavy traffic,735
11/01/2019 12:00:00 AM,1 - light traffic,14632
02/01/2023 12:00:00 AM,3 - heavy traffic,47769
09/01/2020 12:00:00 AM,4 - stand still,1466.5
08/01/2019 12:00:00 AM,1 - light traffic,47984
08/01/2021 12:00:00 AM,3 - heavy traffic,39603
10/01/2019 12:00:00 AM,0- free flowing,1156005
06/01/2021 12:00:00 AM,1 - light traffic,790
11/01/2020 12:00:00 AM,2 - medium traffic,0
01/01/2020 12:00:00 AM,4 - stand still,39679.5
11/01/2021 12:00:00 AM,1 - light traffic,8790
01/01/2023 12:00:00 AM,3 - heavy traffic,34338
10/01/2020 12:00:00 AM,4 - stand still,885.5
05/01/2022 12:00:00 AM,0- free flowing,573630
06/01/2022 12:00:00 AM,3 - heavy traffic,79653
07/01/2021 12:00:00 AM,3 - heavy traffic,120282
07/01/2020 12:00:00 AM,4 - stand still,1305.5
08/01/2022 12:00:00 AM,0- free flowing,573629
07/01/2019 12:00:00 AM,3 - heavy traffic,290295
02/01/2021 12:00:00 AM,1 - light traffic,0
02/01/2020 12:00:00 AM,0- free flowing,1079777
03/01/2023 12:00:00 AM,0- free flowing,628021
05/01/2023 12:00:00 AM,1 - light traffic,4752
05/01/2022 12:00:00 AM,4 - stand still,31013.5
12/01/2021 12:00:00 AM,2 - medium traffic,57250
08/01/2020 12:00:00 AM,2 - medium traffic,662.5
04/01/2023 12:00:00 AM,2 - medium traffic,49527.5
10/01/2022 12:00:00 AM,0- free flowing,589770
06/01/2019 12:00:00 AM,4 - stand still,67865
08/01/2020 12:00:00 AM,1 - light traffic,146
09/01/2021 12:00:00 AM,0- free flowing,486866
02/01/2021 12:00:00 AM,2 - medium traffic,0
04/01/2021 12:00:00 AM,3 - heavy traffic,84
08/01/2022 12:00:00 AM,2 - medium traffic,37157.5
10/01/2019 12:00:00 AM,1 - light traffic,19524
08/01/2019 12:00:00 AM,3 - heavy traffic,652515
04/01/2020 12:00:00 AM,4 - stand still,4980.5
